word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Instruction.started,key_resp.started,Instruction.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Wordpresentation.started,WordStim.started,Wordpresentation.stopped,Recallphase.started,Recallbox.started,key_resp_2.started,key_resp_3.started,Recallbox.stopped,Recallphase.stopped,key_resp_2.keys,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,ConfidenceRating.started,confidencetext.started,SubmitConfidence.started,confidencetext.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.0036609999951906502,0.015276499994797632,0.015276499994797632,1.0185307999927318,5.890779499997734,space,5.848835099997814,None,,,,,,,,,,,,,,,,,,145242,001,2024-12-05_23h56.51.116,MemoryRecallTask,2024.1.5,None,2024-12-05 23h57.15.834490 +0530,
dog ,0,0,0,0,5.908215899995412,,,,,,,,,,5.899089400001685,5.908215899995412,6.891827699990245,,,,,,,,,,,,,,,145242,001,2024-12-05_23h56.51.116,MemoryRecallTask,2024.1.5,None,2024-12-05 23h57.15.834490 +0530,
chair,0,1,1,1,6.90815649999422,,,,,,,,,,6.89216979999037,6.90815649999422,7.892964700004086,,,,,,,,,,,,,,,145242,001,2024-12-05_23h56.51.116,MemoryRecallTask,2024.1.5,None,2024-12-05 23h57.15.834490 +0530,
table,0,2,2,2,7.909451400002581,,,,,,,,,,7.89332750000176,7.909451400002581,8.8941635999945,,,,,,,,,,,,,,,145242,001,2024-12-05_23h56.51.116,MemoryRecallTask,2024.1.5,None,2024-12-05 23h57.15.834490 +0530,
shoes,0,3,3,3,8.910690499993507,,,,,,,,,,8.894501899994793,8.910690499993507,9.895157699997071,,,,,,,,,,,,,,,145242,001,2024-12-05_23h56.51.116,MemoryRecallTask,2024.1.5,None,2024-12-05 23h57.15.834490 +0530,
bottle,0,4,4,4,9.911479699992924,,,,,,,,,,9.895501199993305,9.911479699992924,10.89616269999533,,,,,,,,,,,,,,,145242,001,2024-12-05_23h56.51.116,MemoryRecallTask,2024.1.5,None,2024-12-05 23h57.15.834490 +0530,
bag,0,5,5,5,10.912503400002606,,,,,,,,,,10.89651330000197,10.912503400002606,11.897160099993926,,,,,,,,,,,,,,,145242,001,2024-12-05_23h56.51.116,MemoryRecallTask,2024.1.5,None,2024-12-05 23h57.15.834490 +0530,
board,0,6,6,6,11.913907800000743,,,,,,,,,,11.897497899990412,11.913907800000743,12.898481399999582,,,,,,,,,,,,,,,145242,001,2024-12-05_23h56.51.116,MemoryRecallTask,2024.1.5,None,2024-12-05 23h57.15.834490 +0530,
tiffin,0,7,7,7,12.91501359999529,,,,,,,,,,12.898829999990994,12.91501359999529,13.899542400002247,,,,,,,,,,,,,,,145242,001,2024-12-05_23h56.51.116,MemoryRecallTask,2024.1.5,None,2024-12-05 23h57.15.834490 +0530,
aeroplane,0,8,8,8,13.915943100000732,,,,,,,,,,13.89997250000306,13.915943100000732,14.900766099992325,,,,,,,,,,,,,,,145242,001,2024-12-05_23h56.51.116,MemoryRecallTask,2024.1.5,None,2024-12-05 23h57.15.834490 +0530,
